Ground Truth,Prediction
apri rubrica 2,apri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri
tastiera, PAPI
terminare,
nave,mali
vai alla tastiera,
bue,bueh
tra,
chiama,
chiudi applicazione,
termina chiamata,tomnevam vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasatt
apri,
indietro,
chiudi,siudi
zelo, ಎದ
chiudi rubrica, you did it right
chiamata,
sezione, तच्च्ट्वःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
sei, Pai
esci da rubrica,
deseleziona,desejtionapiti
sotto,sopraptor
cancella,ankana
nove, Nyaali
apri rubrica 3,apriya vivasthi
uno,buehra
muovi,mali
vai nel registro chiamate,vai nahi visita
preferiti,
cancella contatto, cintiya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya rubriya
salva,
nuovo contatto, yapata
fai una telefonata,अईःददिःच्वःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
vivavoce,
scendi,
cancella tutto, तद्द्दददददददददददददददददददददददददददददददददददददददददददददददददददददददददद
si,
zero,वेदुच्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
cinque,cinque
stop,top 2
apri rubrica 1,apri rubrica 2
vai alla tastiera,maliapasthi
sali, HAUU
cella,sawa
sei, pāla
uno,bola
aggiungi ai preferiti,aggiungi viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viv
terminare,
rubrica,lubriya
rimuovi,vimavi
muto,muto
otto,ata
vai nel registro chiamate,vaijna vivi shri mati
aggiungi,Anti Vinditi
cancella contatto, तःःट्ःःदब्च्ट्ःद
chiama ultimo numero,chiama ultimo numero 2 3 2 1 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2
preferiti,
no,navevi alla tastiera principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale
attiva vivavoce,apriya rub
richiama, ಎದ
chiudi applicazione,chiudi applicazione alla tastiera principale
chiama emergenza,tamaṃ nitiṃ
quattro,quattro
disattiva vivavoce, meekli lagudi
tra,
bue,bueh
mali,mauv
scesi,
nave,mawla
seleziona,seleziona rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rub
deseleziona,deselects youna
top, PAP
scendi,sambu
tre, PAH
apri rubrica 3,apri rubrica 2
vivavoce,vipli
sopra,topia
sette,चद्द
vai nei preferiti,lali tosi
cancella, thanks a lot
nuovo contatto,nuovo puñata
apri,apri
esci da rubrica,
due,due
zelo,viro
chiudi,siudi
apri rubrica 2,apri rubrica 2
muovi,mali
nove,novecchi
chiama,quana
indietro,india era
sezione,sezione!
vai nella rubrica,vai namo vivi sa
salva,fala
raggiungi,laki-vinditi
chiamata,quattro
termina chiamata, PANIKA KUNNA
scorri verso l alto, ..quietly..
scorri verso il basso, more
fai una telefonata,vairochi lispa nata
tastiera, PASTE LA
sotto,top 2
chiudi rubrica,endi
vai alla pagina principale,vairovaijina vivai
scendi,
zero,viroo
cancella tutto,tai chai otu
quattro,quattro
tra,
stop,satta
bue, ಎ
aggiungi,aggi
fai una telefonata,faiya tesbhiyanata
raggiungi,lendi with you
vai alla tastiera,bālaṃ
aggiungi ai preferiti,aggiungi cappiti
apri rubrica 1,apri rubrica 2
scesi,
vai nel registro chiamate,vai navi jiti maapiti
esci da rubrica,
sali, PAUSE
richiama,ali kama
vai alla pagina principale,vairovaijina viviti vairovi
uno, ಎದ
seleziona,
termina chiamata,tastu
chiudi, you
muto,muto
sei, Pali
otto,aggi
rubrica,
rimuovi,
chiama,
mali,
cella,sali
deseleziona,deselects you and your friends
scorri verso l alto, kori desu alto
cancella contatto,lnchai laklita
chiamata,
si,si
salva, PAULA
cinque,
disattiva vivavoce, ಎದ
preferiti,
nave, n
indietro,
muovi,mali
apri rubrica 3,apri rubri
vai nei preferiti,vani peshiti
apri,apri
sotto,totally
zelo, ಎದ
nuovo contatto, you are the point actor
tastiera,
sezione,
apri rubrica 2,apriya mithai
due,due
vivavoce,
no, yā
nove, yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve yāve y
vai nella rubrica,vaiyanar uvita
attiva vivavoce,ali laguchi
cancella, ಎದ
tre, uh
chiudi rubrica,
top,top 2
terminare,
chiama ultimo numero,चाह्वाःअःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiama emergenza,quattro
scorri verso il basso,chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata chiamata ch
chiudi applicazione,
sette,tapi
sopra,sopraptor
apri rubrica 1,apri rubrica 1 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2
chiudi,kiudi
fai una telefonata, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
tastiera, p
attiva vivavoce,
salva,bawaa
vai nel registro chiamate,vairoli
chiama,quama
chiama emergenza, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
sali,tai
muovi,nali
stop,tapte
si,
cancella tutto,ankhila tov
indietro, ಎದ
sotto,sata
zero,vaira
quattro,
aggiungi ai preferiti,aggiungi viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viv
terminare,ali
vai nei preferiti,lapasiti
chiamata,
scorri verso l alto, more detail
vai nella rubrica,vairovi
mali, PAUSE
preferiti,
scendi,
due,dra
cancella,अईश्वाःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
top,च्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
vivavoce, ಎದ
tre, ಎದ
no,noiapiti rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali
otto,attu
rimuovi,
rubrica, nrubrica
sette,tapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapap
sopra,sopraptor
vai alla pagina principale,vairova jnavindivaijnavi
muto,muto
zelo,vii la
disattiva vivavoce, ಎದ
apri,apri
richiama,ali
seleziona,selezhiyo n
sezione,
bue,
tra,
nuovo contatto, yama konica
aggiungi,anyong
scesi,sali
vai alla tastiera,lapasche
termina chiamata,anyakumap
chiama ultimo numero, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
apri rubrica 3,apri rubrica 2
nave,lavi
chiudi applicazione,si
sei,sali
deseleziona,deselezhiwai
cancella contatto,tastu
raggiungi,ladi
uno, PLEASE SUBSCRIBE TO THE CHANNEL
chiudi rubrica,
cinque,
esci da rubrica,
apri rubrica 2,apri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri
scorri verso il basso,scorri verso il basso chiamatevi ai preferiti principali alla tastiera principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale princip
cella,sana
nove,nali
disattiva vivavoce, ಎದ
termina chiamata,anyakumarra
salva, PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE PRACTICE
zelo,वेःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
cinque,si
apri,
cancella contatto, अच्छ़ःएएएएएएए
raggiungi,laki
muovi,mali
scorri verso il basso, क्यदिदद्द
aggiungi,aggiungi
si,
sotto,satta
sezione,
richiama, ಎ
tra,quattu.
bue,ali
chiudi applicazione,
nave,sali
esci da rubrica,
cancella tutto,anshela toh
seleziona,si
chiama ultimo numero, च्याएच्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
sei,faii
apri rubrica 1,aggi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
vai alla tastiera, nowuva skriya
sette,tapu
nove,
no,anyo
uno,vairochi
sopra,sopra
fai una telefonata, PRACTICAL ATTACK
deseleziona, ಎದ
apri rubrica 2,apri
quattro, pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake pake
preferiti,
scendi,endi
chiamata,
attiva vivavoce,attiva vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavo
vai nella rubrica,vaii nubi
sali,sali
indietro,
scesi,sali
stop,tap 2
zero, where?
vai nel registro chiamate,vai nahi vivi suiteshvati
chiudi rubrica,
chiama emergenza,sali
tastiera, paksera
vai alla pagina principale, lalapattu niti tali
scorri verso l alto, okrave chai
top,अप्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
aggiungi ai preferiti,aggiungi viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viv
vivavoce, ಎವ
mali,n
chiama,
apri rubrica 3,apri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri
tre,
chiudi,
rubrica,lubrica
rimuovi,
cancella,tastai
vai nei preferiti,lali kesele
terminare,
nuovo contatto, yabukti ta
otto,attu
cella,soprava
due,due
muto,muto
attiva vivavoce,aggi vivavoce
vai nei preferiti,mali
apri rubrica 3,apri rubrica 2
disattiva vivavoce, ಎದ
cella,sawa
cinque,
sezione,
tastiera, PAH!
nave,
zelo,vii na
nuovo contatto, yalla pravada
termina chiamata,tapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnavapnav
apri,
scorri verso l alto,ali basala
chiamata,quattro
seleziona,
indietro, ಎದ
cancella,ankai shri mati
top,tapte
scesi,
apri rubrica 2,apri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri
nove, yāna
tre,tapu
chiudi rubrica, you did it right
scorri verso il basso,scorci destrivați-vai aluia 3dvastra
raggiungi,
deseleziona,deselects you
vivavoce, ಎದ
vai nella rubrica,vai namo vivi chattu
due,due
chiama ultimo numero, PRACTICAL
stop,tap
vai alla tastiera,vairo scella
terminare,
zero,वेरु
vai alla pagina principale,vairovaijna principali
richiama,
cancella tutto,अईच्यायाविट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
fai una telefonata,vairo chititi
sopra,topya
sette,
scendi,
chiama emergenza,
quattro,vakkyo
vai nel registro chiamate,vai na vivi chitiya maa
chiudi applicazione,
no, Nya
sali,sali
aggiungi ai preferiti,anyong
apri rubrica 1,apri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri
bue,
tra,quack!
aggiungi,Avairova
chiama,
sotto,tota
chiudi,
esci da rubrica,
otto,attattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattatt
muto,ata
sei,sali
cancella contatto, than share with us
mali,mali
preferiti,
salva,sai tata
rubrica,lubita
rimuovi,rimali
uno, ಎದ
si,
muovi,mali
chiamata,
cella,tada
quattro,
nuovo contatto, n
chiudi applicazione,
indietro, more
vai alla pagina principale,vairopechi
scorri verso il basso,sopraptor
termina chiamata, ಎದ
apri rubrica 3,apriya vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva viv
cancella contatto,च्दददददद
si,
bue, more
tra, ಎದ
seleziona,satha
tastiera,apu
nove,tattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattattatt
vai alla tastiera, PRACTICE
attiva vivavoce,apriya reta
apri,apri
vivavoce,tastu
zelo, ಎದ
chiudi rubrica,
vai nel registro chiamate, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
scesi,satha
rubrica,
rimuovi,
cancella,tata
disattiva vivavoce, ಎಎ
chiama ultimo numero, तःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
uno, ಎದ
sei,top 2
nave,
raggiungi,apri
apri rubrica 2,aggi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
no, ಎದ
cinque,sopraptor
mali,
sopra,sopra
sette,
esci da rubrica,
aggiungi,apriya
terminare, ಎದ
scorri verso l alto,
chiama emergenza, ಎದ
apri rubrica 1,aprivi
chiudi,
chiama,
deseleziona,mati rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri
muto, ಎದ
sezione,sopraptor
otto,
vai nella rubrica,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
richiama, ಎದ
cancella tutto,cancella the same
aggiungi ai preferiti, pankulipapati
vai nei preferiti,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
tre,
top,अप्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
sotto,sopra
sali,च्द्द
zero, PAPA
due, ಎದ
muovi,mali
stop,s
fai una telefonata, ಎದ
preferiti, ಎದ
scendi,tando
salva,चद्वःद
sopra,sopra
cancella, ಎದ
sette,supa
scorri verso l alto, अच्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च
zero,
seleziona,
apri rubrica 1,apri rubrica 2
stop,sukh
cinque,sura
vai nella rubrica,ःःःःःःःःःःःःःःःःःःःःःःःःःः
vivavoce,
sali, ಎದ
bue, more
tra, uh
cancella tutto, more
attiva vivavoce,aliyaarata
aggiungi ai preferiti,apriyaasthi
sezione,
vai nel registro chiamate,vaii vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
muto, ಎದ
chiama emergenza,चद्द्दददददददददददददददददददददददददददददददददददददददददददददददददददददददददद
vai alla pagina principale, right upto there.
otto,apiti
raggiungi, हाँच्ववःट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
tastiera,
sotto,shtriva
deseleziona, ಎದ
vai nei preferiti,अःःःःःःःःःःःःःःःःःःःः
chiamata,
fai una telefonata, PRADIATE
muovi,
uno, ಎದ
mali,
sei,
indietro,no
salva,chap.
nave, ಎದ
nuovo contatto, more of the video
quattro,
si,
cella,sali
chiudi applicazione,
terminare,tata nama
scendi,
apri rubrica 3,tapu
apri, ಎ
zelo, ಎದ
cancella contatto,cancella
chiudi rubrica,
nove, ಎದ
tre, uh
preferiti, ಎದ
top,च्द्द
rimuovi, ಎದ
rubrica,
no,
vai alla tastiera,vairochiya
scesi,
richiama,tapam
esci da rubrica,
disattiva vivavoce,
due,
scorri verso il basso,scorri basimri
aggiungi,aggi
apri rubrica 2,apriya
chiama,
chiama ultimo numero, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiudi,tap
termina chiamata, ಎದ
chiudi applicazione,
vai nella rubrica,
otto, ಎದ
richiama,
muto, ok
apri rubrica 3,apu
sotto,sopra
aggiungi, ಎದ
no,
terminare, ಎದ
disattiva vivavoce, ಎದ
muovi, more
scendi,hondo
nuovo contatto, more content
deseleziona,
mali, ಎದ
salva,
preferiti,
attiva vivavoce,tuella.
sopra,
apri rubrica 2, ಎದ
due,tap
sette,sopra
stop,
zero, ಎದ
chiudi,
tre,
sali,
aggiungi ai preferiti,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
chiama,
termina chiamata,चद्छट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
si,
chiudi rubrica,
vai nei preferiti,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
top,अप्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
sezione,
bue, ಎದ
tastiera,
tra,tap
nove,noi
scorri verso l alto,sopraki
cancella tutto,चद्छददददद
esci da rubrica, ಎದ
rubrica,
vai alla pagina principale, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
rimuovi,
cancella contatto,च्द्ददब्च्ददद
seleziona,tastu
scesi,
indietro,aliya
apri rubrica 1,
fai una telefonata, Pali-tastu
chiamata,
cinque, तुवःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
scorri verso il basso," ok,sori desu basho"
uno,
chiama ultimo numero,चदःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
raggiungi,apriya
cella, ಎದ
quattro,
